Accession name	Versailles accession number	Original stock center number	Country	Versailles mapping population	Genotyping remarks	Latitude	Longitude	Quality of geographic information
N11	285AV	N22489	Russia			55.79	37.61	nd
N12	286AV	N22490	Russia			55.79	37.61	nd
N13	266AV	CS22491	Russia		two N13 accessions (266AV and 417AV) identical	62.13	34.02	Estimated location
N14	267AV	CS22492	Russia			61.8	34.37	Estimated location
N15	268AV	CS22493	Russia			62.22	34.26	Estimated location
N16	287AV	N22494	Russia			55.79	37.61	nd
N17	269AV	CS22495	Russia			61.79	34.36	Estimated location
N18	288AV	N22496	Russia			55.79	37.61	nd
N2	290AV	N22480	Russia			61.29	35.52	Estimated location
N3	291AV	N22481	Russia			61.37	35.36	Estimated location
N4	260AV	CS22482	Russia			61.85	34.34	Estimated location
N6	262AV	CS22484	Russia			60.43	30	Estimated location
N7	263AV	CS22485	Russia			55.79	37.61	nd
N8	264AV	CS22486	Russia			60.06	27.9	Estimated location
N9	284AV	N22487	Russia			62	34.62	Estimated location
Na-1	164AV	N1384	France			47.23	-1.56	Estimated location
Nar-2	585AV	N22726	Azerbaijan			38.95	48.92	Estimated location
Navajo-1	592AV	N22779	Spain			39.31	-3	Estimated location
Nc-1	218AV	N1388	France			48.62	6.25	Estimated location
Nd-0	219AV	N1390	Germany		identical to Nd-1	50.47	8.04	Estimated location
Nd-1	220AV	N1636	Germany		identical to Nd-0, two Nd-1 accessions (220AV and 415AV) identical	50.47	8.04	Estimated location
Nemrut-1	608AV	N28917	Turkey			38.64	42.24	Estimated location
Neo-1	729AV		Tajikistan		identical to Neo-4 and Neo-6	37.36	72.47	Reliable location
Neo-2	730AV		Tajikistan		identical to Neo-3 and Neo-20	37.36	72.47	Reliable location
Neo-20	732AV		Tajikistan		identical to Neo-2 and Neo-3	37.36	72.47	Reliable location
Neo-23	733AV		Tajikistan			37.36	72.47	Reliable location
Neo-3	539AV		Tajikistan			37.36	72.47	Reliable location
Neo-4	731AV		Tajikistan		identical to Neo-1 and Neo-6	37.36	72.47	Reliable location
Neo-6	540AV		Tajikistan			37.36	72.47	Reliable location
Nfro1-1	622AV		Norway			61.58	9.66	Reliable location
Nie-0	139AV	N1392	Germany			50.35	8.43	Estimated location
Nie1-2	691AV		Germany			48.52	8.8	Reliable location
Niigata	255AV		Japan			37.99	139.02	Estimated location
No-0	49AV	N3081	Germany			51.07	13.3	Estimated location
No-0	221AV	N1394	Germany			52.57	13.41	nd
Nog	29AV		France			47.85	2.74	Reliable location
Nok-0	492AV	N1398	Netherlands		identical to Nok-1, Nok-2 and Nok-3	52.24	4.45	Estimated location
Nok-1	95AV	N1400	Netherlands	parent of F2(s) and RIL set(s)	identical to Nok-0, Nok-2 and Nok-3	52.24	4.45	Estimated location
Nok-2	493AV	N1402	Netherlands		identical to Nok-0, Nok-1 and Nok-3	52.24	4.45	Estimated location
Nok-3	494AV	N1405	Netherlands		identical to Nok-0, Nok-1 and Nok-2, two Nok-3 accessions (439AV and 494AV) identical	52.24	4.45	Estimated location
Nok-4	495AV	N1407	Netherlands			52.24	4.45	Estimated location
Nos	343AV		Russia			51.87	80.58	Reliable location
nov-01	340AV		Russia			51.75	80.83	Reliable location
nov-02	341AV		Russia			51.75	80.83	Reliable location
nov-03	342AV		Russia			51.73	80.85	Reliable location
Noz-1	770AV		France			43.96	4.04	Reliable location
Np-0	297AV	N1396	Germany			52.7	10.98	Estimated location
Nw-0	140AV	N1408	Germany			50.32	8.41	Estimated location
Ob-0	222AV	N1418	Germany			50.2	8.58	Estimated location
Ob-1	496AV	N1420	Germany			50.21	8.57	Estimated location
Ob-2	497AV	N1422	Germany			50.21	8.57	Estimated location
Old-1	121AV	N1426	Germany		identical to Old-2	53.14	8.22	Estimated location
Old-2	498AV	N1428	Germany		identical to Old-1	50.23	8.63	Estimated location
Or-0	223AV	N1432	Germany			52.57	13.41	nd
Ors-1	565AV		Norway			62.21	6.53	Reliable location
Ost-0	61AV	N1430	Sweden			60.3	18.37	Estimated location
Ove-0	146AV	N1434	Germany			53.54	9.91	Estimated location
Oy-0	224AV	N1436	Norway	parent of F2(s) and RIL set(s)	identical to Oy-1, two Oy-0 accessions (224AV and 454AV) identical	60.39	6.19	Estimated location
Oy-1	225AV	N1687	Norway		identical to Oy-0	60.39	6.19	Estimated location
Pa-1	50AV	N1438	Italy	parent of F2(s)		38.12	13.36	Estimated location
Pa1-1	316AV		Italy			38.13	13.36	Estimated location
Pan	353AV		Russia			53.82	80.3	Reliable location
Par-1	311AV		France			42.38	9.41	Estimated location
Par-9	10AV		France			46.65	-0.25	Reliable location
Pch-6	771AV		France			43.91	4.01	Reliable location
Ped-0	696AV		Spain			40.74	-3.9	Reliable location
Per-1	100AV	N1444	Russia			58.02	56.23	Estimated location
Per-2	499AV	N1448	Russia			58.03	56.26	Estimated location
Per-3	500AV	N1450	Russia			58.03	56.26	Estimated location
Petergof	226AV	N926	Russia		identical to Sah-0	59.9	29.92	Estimated location
Petro-1	663AV		Serbia			44.34	21.46	Reliable location
Pf-0	147AV	N1452	Germany			48.55	9.11	Estimated location
Pi-0	40AV	N1454	Austria	parent of F2(s)		47.12	10.78	Estimated location
Pirin-10	603AV	N28881	Bulgaria			41.6	23.55	Estimated location
Pla-0	501AV	N1458	Spain			28.06	-16.72	Estimated location
Pla-1	74AV	N1460	Spain			28.06	-16.72	Estimated location
Plo-1	772AV		France			48.46	-4.14	Reliable location
Ply-4	773AV		France			48.48	-4.2	Reliable location
Pn-0	167AV	N1468	France			48.07	-2.97	Estimated location
Po-0	105AV	N1470	Germany			50.72	7.09	Estimated location
Po-1	502AV	N1473	Germany			50.72	7.09	Estimated location
Poc-0	727AV		France			43.01	6.38	Estimated location
Pog-0	159AV	N1476	Canada			49.27	-123.2	Estimated location
Pon	30AV		France			45.74	4.72	Reliable location
Por-1	605AV	N28893	Serbia			43.41	21.59	Estimated location
Pr-0	141AV	N1474	Germany			50.13	8.68	Estimated location
Pre-6	697AV		Spain			41.05	-3.54	Reliable location
Pt-0	39AV	N1478	Germany			53.48	10.61	Estimated location
Puent-4	591AV	N22775	Spain			42.75	-3	Estimated location
Pyl-1	8AV		France			47.19	4.04	Reliable location
Qar-8a	549AV		Lebanon	parent of F2(s)		34.1	35.84	Reliable location
Qui-0	698AV		Spain			42.69	-6.93	Reliable location
Qui-2	774AV		France			43.8	4.08	Reliable location
Ra-0	88AV	N1480	France		different from Ra-0 (428AV)	46.02	3.36	Estimated location
Rad-1	775AV		France			46.65	4.11	Reliable location
Rak-1	344AV		Russia			51.85	80.05	Reliable location
Rak-2	228AV	N1484	Czech Republic			49.03	16.33	Estimated location
Rak-2	345AV		Russia			51.85	80.05	Reliable location
Rak-3	346AV		Russia			51.87	80.05	Reliable location
Ran	21AV		France			48.51	-1.98	Reliable location
Rd-0	142AV	N1482	Germany		identical to Est-1	50.77	8.21	Estimated location
Ri-0	160AV	N1492	Canada	parent of RIL set(s)	identical to Kin-0	49.18	-123.13	Estimated location
Rld-2	229AV	N1641	Russia	parent of F2(s)		56.27	34.33	Estimated location
RLD1	230AV	N913	Netherlands			52.39	4.89	Estimated location
Roc-1	776AV		France			48.65	-4.36	Reliable location
Rod-1	620AV		Sweden			59.35	18.07	nd
Rom-5	14AV		France			45.54	4.86	Reliable location
Rou-0	82AV	N1488	France			49.44	1.1	Estimated location
Rovero-1	674AV		Italy			46.25	11.17	Reliable location
Rsch-0	504AV	N1490	Russia			56.27	34.33	Estimated location
Rsch-4	90AV	N1494	Russia			56.27	34.33	Estimated location
Ru-0	143AV	N1496	Germany			52.57	13.41	nd
Ru3,1-27	682AV		Germany			48.56	9.16	Reliable location
Rubezhnoe-1	231AV	N927	Ukrainia	parent of F2(s)		50.47	30.52	nd
Rum-1	777AV		France			48.63	-4.08	Reliable location
S96	232AV	N914	Netherlands			52.39	4.89	nd
Sah-0	233AV	N1500	Spain		identical to Petergof	40.44	-3.7	nd
Sakata	257AV		Japan			38.94	139.83	Estimated location
Sal-1	778AV		France			43.57	3.82	Reliable location
San Martin-1	594AV	N22791	Spain			40.39	-4	Estimated location
Santa Clara	281AV	N8069	USA		identical to Ler-1 and Buckhorn Pass	37.36	-121.95	Estimated location
Sap-0	234AV	N1506	Czech Republic		identical to Sg-1	49.82	14.4	Estimated location
Sar-1	304AV		France		identical to Sar-2	47.53	-2.77	Estimated location
Sar-2	305AV		France		identical to Sar-1	47.53	-2.77	Estimated location
Sav-0	235AV	N1514	Czech Republic			50.09	12.38	Estimated location
Se-0	75AV	N1502	Spain			40.44	-3.7	nd
Sei-0	43AV	N1504	Italy			46.54	11.56	Estimated location
Sev	350AV		Russia			52.1	79.3	Reliable location
Sf-1	78AV	N1512	Spain			41.78	3.03	Estimated location
Sf-2	508AV	N1516	Spain			41.78	3.03	Estimated location
Sg-1	112AV	N1518	Germany		identical to Sap-0	47.98	7.8	Estimated location
Sg-2	509AV	N1520	Germany			48.13	8.33	Estimated location
Sgd-1	306AV		France		identical to Sgd-2 and Sgd-3	45.6	-0.99	Estimated location
Sgd-2	307AV		France		identical to Sgd-1 and Sgd-3	45.6	-0.99	Estimated location
Sgd-3	308AV		France		identical to Sgd-2 and Sgd-1	45.6	-0.99	Estimated location
Sgd-4	309AV		France			45.6	-0.99	Estimated location
Sgd-5	310AV		France			45.6	-0.99	Estimated location
Sh-0	36AV	N1522	Germany			51.68	10.21	Estimated location
Shahdara	271AV	CS6180	Tajikistan		three Shahdara accessions (236AV, 271AV and 448AV) identical	38.59	68.79	nd
Shahdara	236AV	N929	Tajikistan	parent of F2(s) and RIL set(s)	three Shahdara accessions (236AV, 271AV and 448AV) identical	38.59	68.79	nd
Shigu-1	649AV		Russia		identical to Bolin-1	53.33	49.48	Reliable location
Shigu-2	650AV		Russia			53.33	49.48	Reliable location
Si-0	120AV	N1524	Germany			50.88	8.02	Estimated location
Sij-1	356AV		Uzbekistan		identical to Sij-2 and Sij-3	41.75	70.08	Reliable location
Sij-2	357AV		Uzbekistan		identical to Sij-1 and Sij-3	41.75	70.08	Reliable location
Sij-3	358AV		Uzbekistan		identical to Sij-1 and Sij-2	41.75	70.08	Reliable location
Sij-4	359AV		Uzbekistan			41.75	70.08	Reliable location
Sk-2	559AV		Norway			61.89	8.31	Reliable location
Sk1-1	623AV		Norway			61.9	8.25	Reliable location
Sku-20	621AV		Sweden			59.35	18.07	nd
Slavi-1	664AV		Bulgaria			41.43	23.65	Reliable location
Sn(5)-1	237AV	N930	Czech Republic			48.3	19.85	Estimated location
Sofia-1	601AV	N28865	Bulgaria			42.8	23.3	Estimated location
Sog-1	564AV		Norway			61.21	7.13	Reliable location
Sol-0	511AV	N1528	Denmark			55.54	12.18	Estimated location
Sorbo	238AV	CS931	Tajikistan		two Sorbo accessions (238AV and 449AV) identical	38.59	68.79	nd
Sp-0	53AV	N1530	Germany			52.54	13.18	Estimated location
St-0	62AV	N1534	Sweden			59.34	18.06	Estimated location
Star-8	683AV		Germany		identical to HKT2-4	48.43	8.82	Reliable location
Ste-0	47AV	N1536	Germany			52.61	11.87	Estimated location
Stepn-1	648AV		Russia			54.06	60.48	Reliable location
Stepn-2	647AV		Russia			54.09	60.46	Reliable location
Stu-1	600AV	N28862	Bulgaria			41.54	25.73	Estimated location
Stw-0	92AV	N1538	Russia			52.84	36.92	Estimated location
Su-0	168AV	N1540	United Kingdom		identical to Edi-0 (453AV)	53.66	-3.01	Estimated location
Sue-0	512AV	N1542	Spain			37.18	-3.6	Estimated location
Sus-1	533AV		Kyrgyzstan	parent of F2(s)		42.19	73.41	Reliable location
Sv-0	513AV	N1545	Denmark			55.65	11.28	Estimated location
Ta-0	56AV	N1548	Czech Republic			49.42	14.66	Estimated location
Te-0	68AV	N1550	Finland			60.06	23.3	Estimated location
Timpo-1	661AV		Italy			39.27	16.27	Reliable location
Tokushima	258AV		Japan			34.09	134.55	Estimated location
Tol-0	176AV	N8020	USA			41.67	-83.55	Estimated location
Toufl-1	646AV		Morocco			31.47	-7.42	Reliable location
Touj-2	780AV		France			46.65	4.11	Reliable location
Toum-3	779AV		France			48.28	-4.19	Reliable location
Tre-1	781AV		France			43.99	3.48	Reliable location
Tro-0	576AV		France			49.46	0.58	Estimated location
Truk-1	595AV	CS22799	Ukrainia			50.46	30.54	Estimated location
Ts-1	515AV	N1552	Spain		identical to Ts-3, two Ts-1 accessions (443AV and 515AV) identical	41.73	2.93	Estimated location
Ts-2	79AV	N1554	Spain			41.72	2.93	Estimated location
Ts-3	516AV	N1556	Spain		identical to Ts-1	41.73	2.93	Estimated location
Ts-5	517AV	N1558	Spain		two Ts-5 accessions (444AV and 517AV) identical	41.73	2.93	Estimated location
Ts-6	80AV	N1560	Spain			41.72	2.93	Estimated location
Ts-7	518AV	N1562	Spain			41.73	2.93	Estimated location
Tsu-0	91AV	N1564	Japan	parent of RIL set(s)	identical to Be-0, Tsu-1 and Tu-0	34.73	136.5	Estimated location
Tsu-1	239AV	N1640	Japan		identical to Be-0, Tsu-0 and Tu-0, two Tsu-1 accessions (239AV and 437AV) identical	34.74	136.5	Estimated location
Tu-0	109AV	N1566	Italy		identical to Be-0, Tsu-0 and Tsu-1	45.08	7.69	Estimated location
Tu-1	519AV	N1568	Italy			45.08	7.69	Estimated location
Tu-SB30-2	688AV		Germany			48.53	9.06	Reliable location
Tu-Scha-9	685AV		Germany			48.53	9.05	Reliable location
Tu-V-12	687AV		Germany			48.52	9.05	Reliable location
Tu-Wa1-2	686AV		Germany			48.53	9.03	Reliable location
Tul-0	240AV	N1570	USA	parent of F2(s)	identical to Gre-0, Ken, Knox-10, Mv-0, Pna-10 and RRS-10	43.27	-85.26	Estimated location
Ty-0	241AV	N1572	United Kingdom			56.43	-5.24	Estimated location
Uk-1	113AV	N1574	Germany			48.03	7.76	Estimated location
Uk-2	520AV	N1578	Germany			48.03	7.76	Estimated location
Uk-3	521AV	N1576	Germany			48.03	7.76	Estimated location
Uk-4	522AV	N1580	Germany			48.03	7.76	Estimated location
Ullapool-1	616AV	N28966	Scotland			57.9	-5	Estimated location
Vag-3	557AV		Norway			61.86	8.94	Reliable location
Valsi-1	681AV		Italy			40.18	16.45	Reliable location
Van-0	161AV	N1584	Canada		two Van-0 accessions (161AV and 423AV) identical	49.27	-123.25	Estimated location
Ved-2	782AV		France			43.66	3.96	Reliable location
Veg-1	566AV		Norway			65.71	11.93	Reliable location
Ven-4	783AV		France			50.51	2.9	Reliable location
Vezzano-2a	675AV		Italy			46.63	10.82	Reliable location
Vezzano-2b	676AV		Italy			46.63	10.82	Reliable location
Vgn-1	561AV		Norway			68.17	14.22	Reliable location
Vi-0	144AV	N1582	Germany		nearly identical (3 differences) to Ws-0 (419AV)	52.57	13.41	nd
Vi0-1	317AV		Germany			50.23	8.27	Estimated location
Vie-0	699AV		Spain			42.63	0.76	Reliable location
Vil-0	553AV		Spain			42.35	-3.7	Estimated location
Vin-1	571AV		Norway			59.54	7.95	Reliable location
Voeran-1	652AV		Italy			46.36	11.23	Reliable location
Vorst-1	611AV	N28923	Belgium			50.81	4.33	Estimated location
Vou-6	9AV		France			46.55	-0.24	Reliable location
Wa-1	67AV	N1586	Poland		identical to Me-0, two identical Wa-1 accessions (67AV and 440AV) identical	52.24	21.01	Estimated location
Wal-HasB-4	690AV		Germany			48.6	9.19	Reliable location
Wav-1	784AV		France			50.56	2.92	Reliable location
Wc-1	35AV	N1588	Germany			52.61	10.08	Estimated location
Wc-2	523AV	N1590	Germany			52.61	10.08	Estimated location
Wei-0	242AV	N3110	Switzerland		two accessions Wei-0 (242AV and 418AV) nearly identical (19 differences)	47.42	8.43	Estimated location
Wei-1	243AV	N1639	Switzerland			47.42	8.43	Estimated location
WestKar-1	708AV		Kyrgyzstan			42.26	74.16	Reliable location
WestKar-3	709AV		Kyrgyzstan			42.26	74.16	Reliable location
Westkar-4	710AV		Kyrgyzstan		identical to Dja-1 and Dja-5	42.26	74.16	Reliable location
Wha1	23AV		United Kingdom		identical to Gol-1 and Wha1-1	53.23	-4.18	Reliable location
Wha1-1	314AV		United Kingdom		identical to Gol-1 and Wha1	53.31	-4.17	Estimated location
Wha2	24AV		United Kingdom		identical to Hr-5	53.23	-4.18	Reliable location
Wil-1	72AV	N1594	Lithuania			54.7	25.28	Estimated location
Wil-2	524AV	N1596	Lithuania		identical to Wil-3	54.71	25.28	Estimated location
Wil-3	525AV	N1598	Lithuania		identical to Wil-2	54.71	25.28	Estimated location
Wl-0	123AV	N1630	Germany			48.76	8.55	Estimated location
Ws	244AV	N915	Belarus		identical to  Ws-3	53.92	27.56	nd
Ws-0	84AV	N1602	Belarus		different from Ws-0 (419AV)	59.94	30.26	Estimated location
Ws-1	85AV	N2223	Belarus		identical to Ld-3, Ws-2 and Ws-4, two Ws-2 accessions (86AV and 455AV) identical	59.94	30.26	Estimated location
Ws-2	86AV	N1601	Belarus		identical to Ld-3, Ws-1 and Ws-4, two Ws-2 accessions (86AV and 455AV) identical	59.94	30.26	Estimated location
Ws-3	245AV	N1638	Belarus		identical to  Ws	53.92	27.56	nd
Ws-4	530AV	N5390	Belarus	parent of F2(s)	identical to Ld-3, Ws-1 and Ws-2, two Ws-2 accessions (86AV and 455AV) identical	53.92	27.57	nd
Wt-1	526AV	N1604	Germany			52.66	9.84	Estimated location
Wt-2	527AV	N1606	Germany			52.66	9.84	Estimated location
Wt-3	155AV	N1608	Germany			52.66	9.84	Estimated location
Wt-4	156AV	N1610	Germany			52.66	9.84	Estimated location
Wt-5	528AV	N1612	Germany		two Wt-5 accessions (433AV and 528AV) nearly identical (3 differences)	52.66	9.84	Estimated location
Wu-0	246AV	N1614	Germany			49.8	9.93	Estimated location
X-0	247AV	N1616	nd		identical to Xx-0	0	0	nd
Xan-1	582AV	N22703	Azerbaijan			38.65	48.8	Estimated location
Xx-0	248AV	N1618	nd		identical to X-0	0	0	nd
XXX-0	249AV	N1620	nd		identical to Col-0, Col-4, Col-5, Col-7, Berkeley, Bla-12, Limeport and Li-5	0	0	nd
Yamagata	259AV		Japan			38.48	140.36	Estimated location
Yeg-1	590AV	N22765	Armenia			39.87	45.36	Estimated location
Yo-0	250AV	N1622	USA	parent of RIL set(s)	two Yo-0 accessions (250AV and 420AV) identical	37.75	-119.58	Estimated location
Zab-1	607AV	N28909	Croatia			45.96	16.61	Estimated location
Zal-1	536AV		Kyrgyzstan	parent of F2(s)		42.8	76.35	Reliable location
Zal-3	537AV		Kyrgyzstan			42.8	76.35	Reliable location
Ze-0	529AV	N1624	Switzerland			46.03	7.75	Estimated location
Zloc-1	602AV	N28873	Bulgaria			42.22	24.17	Estimated location
Zu-0	251AV	N1626	Switzerland		identical to Et-0	47.38	8.54	Estimated location
